mean_star_rating,stddev_star_rating,mean_text_length,mean_useful_votes,count,cohort,prop_star_1,prop_star_2,prop_star_3,prop_star_4,prop_star_5
3.7010309278350517,1.3241738655164732,525.9896907216495,2.9896907216494846,97,2004,0.10309278350515463,0.09278350515463918,0.16494845360824742,0.27835051546391754,0.36082474226804123
3.8946915351506455,1.0233148609542948,646.0972740315639,2.1994261119081777,3485,2005,0.033285509325681494,0.06456241032998565,0.18823529411764706,0.40200860832137736,0.31190817790530845
3.8057993400266796,1.1981953198920765,713.0834093940883,2.2676402443305483,14243,2006,0.0682440497086288,0.08720073018324791,0.16267640244330547,0.3342694657024503,0.3476093519623675
3.7917716398936787,1.1853186784355079,742.875164682769,2.2443545591124465,43265,2007,0.06517970646018721,0.08840864440078586,0.17196348087368543,0.3383566393158442,0.3360915289494973
3.804055313689151,1.2059988650680749,768.6536534011777,2.2318481395782386,91189,2008,0.0711269999671013,0.08729123030190045,0.15574246893813948,0.33807805766046345,0.34776124313239537
3.773888628919045,1.2752788797525787,699.6109298749916,1.7385052476769838,149590,2009,0.08850859014640015,0.09053412661274149,0.14912761548231834,0.30221939969249284,0.3696102680660472
3.809206242992006,1.3019912309066446,675.0907286504865,1.5944541903280645,221176,2010,0.09531323470901001,0.08522624516222375,0.13362661409917895,0.2866088544869244,0.39922505154266286
3.8204030602369112,1.341963324736395,635.5598418475656,1.4373371750243544,315139,2011,0.10699088338796531,0.08102456376392639,0.12133693386093121,0.26588584719758585,0.42476177178959124
3.8108049285182934,1.3971599551413922,602.8398491429017,1.3499663787474703,307841,2012,0.12355079407876143,0.07957029765365888,0.10850406541039043,0.23927287138490325,0.44910197147228603
3.804966354470957,1.4358681973389738,574.5804397509127,1.1695092203138018,298851,2013,0.1357666529474554,0.07739308217138306,0.10061201066752327,0.21856376589002546,0.4676644883236128
3.815288001303881,1.4621039800431284,549.9975951383876,1.047704737544114,300641,2014,0.14466090786020536,0.07230550723287908,0.0934037606314508,0.202344324293759,0.4872854999817058
3.7829390942802563,1.5097695100274828,527.5487554781436,0.8785362119339252,284768,2015,0.16248314417350265,0.06999733116080459,0.08689529722440724,0.183345741094505,0.4972784863467805
3.77088979325472,1.5439239292901885,524.6156812805336,0.8326278675597532,220658,2016,0.17536640411859075,0.06700414215664059,0.0794351439784644,0.16776187584406638,0.5104324339022378
3.736871233976022,1.5694150064744532,501.79207050896235,0.7041141758158134,144549,2017,0.18626901604300272,0.06741658537935233,0.0778421158223163,0.16011871406927755,0.5083535686860511
3.6670204795204797,1.628233772488825,487.5800895533038,0.6541494220065649,112112,2018,0.21389324960753534,0.06459611816754673,0.07034037391180248,0.142937419723134,0.5082328385899815
3.600554838214802,1.6712419189098882,475.35495583027574,0.5569348384704874,78221,2019,0.23543549686145665,0.06615870418429834,0.06491862798992598,0.12938980580662482,0.5040973651576942
3.50181240063593,1.734870153781129,458.9054372019078,0.4739268680445151,31450,2020,0.2715421303656598,0.06372019077901431,0.057615262321144674,0.10562798092209857,0.5014944356120826
3.2686891555354314,1.782397968259248,486.0162553769527,0.4009508716323296,22085,2021,0.3236585918043921,0.07335295449400045,0.05945211682137197,0.09771338012225493,0.4458229567579805
2.873392680514342,1.8652088947077394,495.82789317507417,0.12561819980217606,1011,2022,0.44807121661721067,0.0702274975272008,0.036597428288822946,0.050445103857566766,0.39465875370919884
